winning_team,country
Norway,France
Germany,Germany
Uruguay,Uruguay
Paraguay,Uruguay
Argentina,Uruguay
Brazil,Uruguay
Netherlands,Netherlands
Uruguay,Uruguay
Brazil,Argentina
Uruguay,Uruguay
Argentina,Argentina
Mexico,Mexico
Mexico,Mexico
Guatemala,Mexico
France,France
Germany,Germany
Austria,Italy
Austria,Yugoslavia
Wales,Wales
Spain,Italy
Belgium,Netherlands
Luxembourg,France
Curaçao,Aruba
Hungary,Hungary
Jersey,Guernsey
Germany,Netherlands
Alderney,Guernsey
Netherlands,Belgium
Jersey,Jersey
Austria,Hungary
Argentina,Paraguay
England,France
Paraguay,Paraguay
Austria,Austria
Austria,Austria
Argentina,Argentina
Uruguay,Uruguay
Italy,France
Czechoslovakia,France
Switzerland,France
United States,France
Uruguay,France
Hungary,France
Egypt,France
France,France
Netherlands,France
Czechoslovakia,France
Republic of Ireland,France
Italy,France
Sweden,France
Egypt,France
Uruguay,France
Switzerland,France
Uruguay,France
Sweden,France
Switzerland,France
Netherlands,France
Hungary,France
Switzerland,France
Uruguay,France
Australia,Australia
Netherlands,France
Sweden,France
Uruguay,France
Canada,Australia
Sweden,Denmark
Germany,Norway
Turkey,Estonia
Austria,Austria
Turkey,Latvia
Australia,Australia
Canada,Australia
Canada,Australia
Australia,Australia
Finland,Latvia
Lithuania,Estonia
Czechoslovakia,Czechoslovakia
Sweden,Germany
Hungary,Hungary
Austria,Austria
Denmark,Norway
Hungary,Hungary
Argentina,Uruguay
Czechoslovakia,Yugoslavia
Argentina,Argentina
Denmark,Denmark
Paraguay,Uruguay
Latvia,Latvia
Uruguay,Uruguay
Argentina,Uruguay
Uruguay,Uruguay
Paraguay,Uruguay
Netherlands,Netherlands
Argentina,Uruguay
Sweden,Austria
Belgium,Belgium
Sweden,Italy
Italy,Germany
Switzerland,Germany
Brittany,Luxembourg
England,Wales
Guernsey,Guernsey
Netherlands,Belgium
Austria,Austria
Jamaica,Haiti
Italy,Italy
Hungary,Hungary
Jamaica,Haiti
Jamaica,Haiti
Netherlands,Netherlands
Guernsey,Jersey
Turkey,Turkey
Northern Ireland,Wales
Austria,France
Guernsey,Guernsey
Turkey,Romania
Netherlands,Netherlands
Austria,Austria
Russia,Turkey
Philippines,Philippines
China PR,Philippines
China PR,Philippines
England,France
Belgium,Hungary
China PR,Philippines
China PR,Philippines
Czechoslovakia,Czechoslovakia
Romania,Bulgaria
Norway,Norway
Denmark,Denmark
Canada,Canada
Estonia,Lithuania
Estonia,Estonia
Paraguay,Argentina
Paraguay,Argentina
Paraguay,Uruguay
Paraguay,Uruguay
Paraguay,Paraguay
Uruguay,Paraguay
Sweden,Norway
Uruguay,Paraguay
Latvia,Estonia
Poland,Estonia
Austria,Hungary
Lithuania,Latvia
Spain,Austria
Finland,Denmark
Poland,Turkey
Spain,Hungary
Czechoslovakia,Czechoslovakia
Netherlands,Netherlands
Czechoslovakia,Czechoslovakia
Scotland,Wales
Italy,Italy
Italy,Hungary
United States,United States
Argentina,Argentina
Brazil,Argentina
Guernsey,Guernsey
Argentina,Argentina
Austria,Belgium
Brazil,Argentina
Argentina,Argentina
Brazil,Argentina
Italy,Italy
Curaçao,Haiti
Curaçao,Haiti
Haiti,Haiti
Hungary,Belgium
Curaçao,Haiti
Jamaica,Jamaica
Austria,Austria
Netherlands,Belgium
Italy,Italy
Netherlands,Netherlands
France,France
Jersey,Guernsey
France,France
Germany,Germany
France,France
Romania,Romania
Jersey,Jersey
Uganda,Kenya
Austria,Hungary
Belgium,Netherlands
Kenya,Kenya
Romania,Turkey
Italy,Italy
England,Belgium
Argentina,Argentina
Austria,Austria
Yugoslavia,Yugoslavia
Argentina,Argentina
Hungary,Hungary
Denmark,Denmark
Estonia,Estonia
France,France
France,Belgium
Sweden,Germany
Czechoslovakia,Yugoslavia
Czechoslovakia,Czechoslovakia
Czechoslovakia,Czech Republic
Latvia,Latvia
Sweden,Estonia
Finland,Latvia
Hungary,Hungary
Latvia,Lithuania
Hungary,Austria
Estonia,Latvia
Denmark,Norway
Austria,Czechoslovakia
Denmark,Denmark
Romania,Yugoslavia
Austria,Austria
Chile,Chile
Argentina,Chile
Uruguay,Chile
Argentina,Chile
Paraguay,Chile
Uruguay,Chile
Uruguay,Chile
Czechoslovakia,Czechoslovakia
Argentina,Chile
Germany,Netherlands
Uruguay,Chile
Chile,Chile
United States,United States
Austria,Austria
Hungary,Hungary
Jamaica,Jamaica
Switzerland,Germany
Czechoslovakia,Belgium
England,Wales
Czechoslovakia,Italy
Belgium,Belgium
Czechoslovakia,Austria
Belgium,Belgium
Jersey,Jersey
Northern Ireland,Wales
Austria,Austria
Hungary,Hungary
Italy,Italy
Czechoslovakia,Czechoslovakia
Italy,France
Guernsey,Guernsey
Netherlands,Netherlands
Yugoslavia,Romania
England,Belgium
Yugoslavia,Bulgaria
England,Luxembourg
Austria,Austria
Spain,France
Czechoslovakia,Czechoslovakia
England,France
Italy,Italy
Denmark,Norway
Netherlands,Denmark
Hungary,Hungary
Norway,Norway
Estonia,Estonia
Poland,Romania
Sweden,Norway
Argentina,Uruguay
Turkey,Bulgaria
Latvia,Latvia
Estonia,Estonia
Estonia,Lithuania
Uruguay,Argentina
Czechoslovakia,Czechoslovakia
Hungary,Hungary
Latvia,Latvia
Denmark,Denmark
Czechoslovakia,Hungary
Turkey,Turkey
Italy,Czechoslovakia
Germany,Germany
Czechoslovakia,Czechoslovakia
Scotland,Wales
Argentina,Peru
Denmark,Denmark
Uruguay,Peru
Uruguay,Peru
Austria,Italy
Honduras,Honduras
El Salvador,Honduras
Netherlands,Netherlands
Peru,Peru
Argentina,Peru
Netherlands,Germany
Argentina,Peru
Uruguay,Chile
Italy,Italy
Austria,Belgium
Republic of Ireland,Belgium
France,France
Belgium,Netherlands
Trinidad and Tobago,British Guyana
Italy,Italy
Czechoslovakia,Austria
Belgium,Belgium
Yugoslavia,Yugoslavia
Belgium,France
Romania,Romania
Uganda,Uganda
Guernsey,Guernsey
Hungary,Hungary
Netherlands,Netherlands
Portugal,France
Jersey,Jersey
Austria,Austria
Austria,Hungary
Yugoslavia,Yugoslavia
Czechoslovakia,France
England,France
England,Belgium
Portugal,Netherlands
Belgium,Netherlands
Germany,Netherlands
Egypt,Netherlands
Italy,Netherlands
Portugal,Netherlands
Argentina,Netherlands
Spain,Netherlands
Uruguay,Netherlands
Spain,Netherlands
Argentina,Netherlands
Uruguay,Netherlands
Italy,Netherlands
Egypt,Netherlands
Netherlands,Netherlands
Chile,Netherlands
Argentina,Netherlands
Uruguay,Netherlands
Chile,Netherlands
Italy,Netherlands
Argentina,Netherlands
Uruguay,Netherlands
Egypt,Netherlands
Denmark,Norway
Egypt,Luxembourg
Sweden,Latvia
Sweden,Estonia
Latvia,Estonia
Estonia,Estonia
Latvia,Estonia
Paraguay,Paraguay
Latvia,Latvia
Uruguay,Paraguay
Argentina,Argentina
Latvia,Lithuania
Germany,Germany
Argentina,Uruguay
Czechoslovakia,Czechoslovakia
Estonia,Latvia
Germany,Norway
Austria,Austria
Denmark,Denmark
Czechoslovakia,Czechoslovakia
Austria,Austria
Czechoslovakia,Czechoslovakia
Hungary,Hungary
Belgium,Netherlands
Austria,Italy
England,Wales
Italy,Italy
Northern Ireland,Wales
Germany,Germany
France,France
Italy,Italy
Austria,Czechoslovakia
Netherlands,Netherlands
France,France
Austria,Austria
Guernsey,Jersey
Barbados,Barbados
Romania,Romania
Barbados,Barbados
Barbados,Barbados
Germany,Italy
Republic of Ireland,Irish Free State
Guernsey,Guernsey
Hungary,Austria
Belgium,Belgium
England,France
Yugoslavia,Romania
England,Belgium
Uganda,Kenya
Yugoslavia,France
Belgium,Belgium
Scotland,Norway
Scotland,Germany
Scotland,Netherlands
Netherlands,Norway
Argentina,Argentina
Argentina,Uruguay
Norway,Norway
Norway,Denmark
Germany,Germany
Czechoslovakia,Yugoslavia
Greece,Bulgaria
Finland,Estonia
Latvia,Latvia
Estonia,Latvia
Estonia,Latvia
Hungary,Czechoslovakia
Austria,Austria
Romania,Bulgaria
Estonia,Estonia
Uruguay,Uruguay
Uruguay,Argentina
Norway,Norway
Czechoslovakia,Czechoslovakia
Hungary,Hungary
Romania,Romania
Denmark,Denmark
Germany,Germany
Guyana,Trinidad and Tobago
Scotland,Wales
Czechoslovakia,Czechoslovakia
Paraguay,Argentina
Guyana,Trinidad and Tobago
Argentina,Argentina
Norway,Netherlands
Trinidad and Tobago,Trinidad and Tobago
Argentina,Argentina
Uruguay,Argentina
Guyana,Trinidad and Tobago
Guyana,Trinidad and Tobago
Paraguay,Argentina
Argentina,Argentina
Italy,Italy
Greece,Greece
Italy,Italy
Uganda,Kenya
Italy,Germany
Cuba,Cuba
Costa Rica,Cuba
Honduras,Cuba
El Salvador,Cuba
Cuba,Cuba
Costa Rica,Cuba
Austria,Czechoslovakia
Switzerland,France
Cuba,Cuba
Costa Rica,Cuba
Honduras,Cuba
Cuba,Cuba
Cuba,Cuba
Costa Rica,Cuba
Italy,Netherlands
Jersey,Guernsey
Belgium,France
Yugoslavia,Yugoslavia
Curaçao,Curaçao
Hungary,Czechoslovakia
Uganda,Uganda
Guernsey,Jersey
Belgium,Netherlands
Yugoslavia,Yugoslavia
England,Germany
Republic of Ireland,Belgium
Czechoslovakia,France
Italy,Hungary
England,Austria
Belgium,Belgium
Scotland,France
Uruguay,Argentina
France,Belgium
Romania,Romania
Hungary,Hungary
Norway,Norway
Belgium,Belgium
Hungary,Hungary
Czechoslovakia,Czechoslovakia
Yugoslavia,Bulgaria
Norway,Norway
Denmark,Denmark
Spain,Italy
Latvia,Estonia
United States,Uruguay
France,Uruguay
Yugoslavia,Uruguay
Romania,Uruguay
Argentina,Uruguay
Chile,Uruguay
Yugoslavia,Uruguay
United States,Uruguay
Sweden,Estonia
Uruguay,Uruguay
Argentina,Uruguay
Chile,Uruguay
Paraguay,Uruguay
Brazil,Uruguay
Uruguay,Uruguay
Argentina,Uruguay
Sweden,Latvia
Argentina,Uruguay
Uruguay,Uruguay
Uruguay,Uruguay
Argentina,Argentina
Latvia,Latvia
Estonia,Estonia
Lithuania,Lithuania
Latvia,Lithuania
Latvia,Lithuania
Denmark,Denmark
Lithuania,Lithuania
Hungary,Austria
Czechoslovakia,Belgium
Norway,Norway
Sweden,Belgium
Germany,Germany
Bulgaria,Bulgaria
Czechoslovakia,Hungary
Norway,Germany
Austria,Austria
Yugoslavia,Bulgaria
England,Wales
Belgium,France
Greece,Greece
Italy,Italy
Barbados,Barbados
Martinique,Barbados
Czechoslovakia,France
Italy,Italy
Martinique,Barbados
Guyana,British Guyana
Trinidad and Tobago,British Guyana
Trinidad and Tobago,British Guyana
Trinidad and Tobago,British Guyana
Guyana,British Guyana
Guyana,British Guyana
France,France
Yugoslavia,Yugoslavia
Hungary,Czechoslovakia
Netherlands,Netherlands
Curaçao,Curaçao
Austria,Austria
Hungary,Hungary
Guernsey,Jersey
Argentina,Paraguay
Yugoslavia,Yugoslavia
Wales,Wales
Argentina,Paraguay
Germany,Netherlands
Jersey,Guernsey
Hungary,Austria
Belgium,Belgium
Romania,Romania
France,France
Austria,Austria
England,Belgium
Italy,Italy
Yugoslavia,Yugoslavia
Austria,Germany
Denmark,Denmark
Estonia,Latvia
Estonia,Estonia
Czechoslovakia,Czechoslovakia
Netherlands,Denmark
Austria,Austria
Germany,Norway
Romania,Yugoslavia
Latvia,Latvia
Paraguay,Argentina
Argentina,Argentina
Yugoslavia,Yugoslavia
Romania,Lithuania
Estonia,Estonia
Latvia,Estonia
Estonia,Estonia
Austria,Austria
Hungary,Hungary
Bulgaria,Bulgaria
Germany,Germany
Latvia,Latvia
Norway,Norway
Turkey,Bulgaria
Bulgaria,Bulgaria
Austria,Hungary
Belgium,Belgium
Finland,Denmark
Kenya,Kenya
Bulgaria,Bulgaria
Scotland,Wales
Hungary,Hungary
Czechoslovakia,Italy
Netherlands,France
Romania,Greece
Belgium,Belgium
Spain,Irish Free State
Italy,Italy
Italy,Italy
Germany,Germany
Haiti,Haiti
Austria,Austria
Netherlands,Belgium
Hungary,Czechoslovakia
Jamaica,Haiti
Dominica,Dominica
Bulgaria,Greece
Bulgaria,Greece
Italy,France
Guernsey,Guernsey
Guyana,Barbados
Barbados,Barbados
Netherlands,Netherlands
Guyana,Barbados
Guyana,Barbados
Trinidad and Tobago,Barbados
Austria,Austria
Trinidad and Tobago,Barbados
Guernsey,Jersey
Belgium,Belgium
Scotland,France
Italy,Hungary
Republic of Ireland,Netherlands
Argentina,Argentina
Uruguay,Uruguay
Austria,Czechoslovakia
Czechoslovakia,Netherlands
Poland,Yugoslavia
Estonia,Estonia
Belgium,Denmark
Norway,Norway
Yugoslavia,Yugoslavia
France,Bulgaria
Romania,Romania
Norway,Norway
Denmark,Denmark
Bulgaria,Yugoslavia
Yugoslavia,Yugoslavia
Romania,Yugoslavia
Latvia,Lithuania
Bulgaria,Yugoslavia
Bulgaria,Yugoslavia
Yugoslavia,Yugoslavia
Sweden,Latvia
Sweden,Estonia
Latvia,Latvia
Lithuania,Lithuania
Finland,Estonia
Uganda,Uganda
Latvia,Latvia
Lithuania,Latvia
Latvia,Latvia
Lithuania,Lithuania
Hungary,Hungary
Germany,Germany
Denmark,Norway
Austria,Hungary
Poland,Romania
Czechoslovakia,Czechoslovakia
Austria,Austria
Czechoslovakia,Czechoslovakia
Hungary,Hungary
Bulgaria,Turkey
England,Wales
Italy,Italy
Netherlands,Germany
Brazil,Uruguay
Wales,Wales
Austria,Belgium
Italy,Italy
Uruguay,Uruguay
Switzerland,Netherlands
Argentina,Argentina
Italy,Belgium
Austria,France
Hungary,Netherlands
France,Germany
Hungary,Hungary
France,France
Jersey,Jersey
Czechoslovakia,Austria
Netherlands,Belgium
France,France
Austria,Hungary
Spain,Yugoslavia
Guernsey,Guernsey
Italy,Italy
Belgium,Netherlands
England,Italy
Wales,France
Latvia,Latvia
Yugoslavia,Romania
Romania,Romania
Australia,Australia
Yugoslavia,Romania
Bulgaria,Romania
Czechoslovakia,Czechoslovakia
Austria,Austria
Norway,Denmark
Romania,Romania
Latvia,Latvia
Australia,Australia
Australia,Australia
Sweden,Lithuania
Sweden,Latvia
Estonia,Estonia
Yugoslavia,Yugoslavia
Estonia,Estonia
Estonia,Lithuania
Latvia,Lithuania
Latvia,Lithuania
Estonia,Lithuania
Austria,Czechoslovakia
Hungary,Hungary
Sweden,Norway
Switzerland,Yugoslavia
Hungary,Austria
Wales,Wales
Curaçao,Aruba
Denmark,Denmark
Curaçao,Aruba
Germany,Germany
Italy,Hungary
Trinidad and Tobago,Trinidad and Tobago
Trinidad and Tobago,Trinidad and Tobago
Guyana,Trinidad and Tobago
Guyana,Trinidad and Tobago
Trinidad and Tobago,Trinidad and Tobago
Trinidad and Tobago,Trinidad and Tobago
Guyana,Trinidad and Tobago
Norway,Germany
Trinidad and Tobago,Trinidad and Tobago
Denmark,Belgium
Germany,Germany
Italy,Italy
Austria,Netherlands
Argentina,Uruguay
Germany,Germany
France,Belgium
Cuba,Haiti
Cuba,Haiti
Cuba,Haiti
Austria,Italy
Belgium,Irish Free State
Mexico,Mexico
Switzerland,France
Germany,Luxembourg
Mexico,Mexico
Netherlands,Netherlands
Martinique,Guadeloupe
Yugoslavia,Bulgaria
Mexico,Mexico
Hungary,Bulgaria
Czechoslovakia,France
Italy,Italy
Bulgaria,Yugoslavia
Egypt,Palestine
Netherlands,Netherlands
Guernsey,Guernsey
Austria,Austria
France,Luxembourg
Austria,Austria
Guernsey,Jersey
Hungary,Hungary
Netherlands,Belgium
Hungary,Czechoslovakia
Romania,Romania
Hungary,Hungary
France,Netherlands
China PR,Philippines
China PR,Philippines
Indonesia,Philippines
Indonesia,Philippines
China PR,Philippines
China PR,Philippines
Japan,Philippines
Czechoslovakia,Czechoslovakia
Philippines,Philippines
Philippines,Philippines
China PR,Philippines
China PR,Philippines
Denmark,Denmark
United States,Italy
Sweden,Italy
Austria,Italy
Germany,Italy
Spain,Italy
Czechoslovakia,Italy
Hungary,Italy
Italy,Italy
Switzerland,Italy
Austria,Italy
Czechoslovakia,Italy
Germany,Italy
Spain,Italy
Italy,Italy
Czechoslovakia,Italy
Italy,Italy
Yugoslavia,Yugoslavia
Germany,Italy
Italy,Italy
Lithuania,Lithuania
Sweden,Denmark
Estonia,Lithuania
Argentina,Uruguay
Curaçao,Curaçao
Curaçao,Curaçao
Suriname,Curaçao
Suriname,Aruba
Trinidad and Tobago,Netherlands Guyana
Finland,Estonia
Hungary,Estonia
Finland,Latvia
Argentina,Argentina
Lithuania,Lithuania
Yugoslavia,Yugoslavia
Czechoslovakia,Czechoslovakia
Norway,Norway
Lithuania,Latvia
Czechoslovakia,Austria
Norway,Norway
England,Wales
Germany,Denmark
Hungary,Hungary
Poland,Latvia
Austria,Austria
Italy,Italy
Hungary,Irish Free State
France,France
Greece,Greece
Yugoslavia,Greece
Romania,Greece
Romania,Greece
Bulgaria,Greece
Yugoslavia,Greece
Argentina,Peru
Uruguay,Peru
Uruguay,Peru
Argentina,Peru
Peru,Peru
Uruguay,Peru
Germany,Germany
Italy,Italy
Germany,Netherlands
Uganda,Uganda
Czechoslovakia,Czechoslovakia
Germany,France
Curaçao,Curaçao
Italy,Austria
Curaçao,Curaçao
Wales,Wales
Netherlands,Netherlands
Guernsey,Jersey
France,Belgium
Austria,Czechoslovakia
Germany,Belgium
Germany,Germany
Guernsey,Guernsey
Uganda,Kenya
Austria,Austria
Netherlands,Belgium
Spain,Germany
Hungary,Hungary
England,Netherlands
France,France
Scotland,United States
Curaçao,Netherlands Guyana
Suriname,Netherlands Guyana
Suriname,Netherlands Guyana
Germany,Germany
Switzerland,Belgium
Latvia,Latvia
Scotland,United States
Estonia,Latvia
Bulgaria,Bulgaria
Yugoslavia,Bulgaria
Bulgaria,Bulgaria
Lithuania,Estonia
Yugoslavia,Bulgaria
Denmark,Denmark
Yugoslavia,Bulgaria
Romania,Bulgaria
Germany,Norway
Sweden,Latvia
Sweden,Estonia
Argentina,Uruguay
Trinidad and Tobago,Netherlands Guyana
Finland,Estonia
Argentina,Argentina
Germany,Germany
Germany,Luxembourg
Lithuania,Estonia
Latvia,Estonia
Latvia,Estonia
Germany,Germany
Czechoslovakia,Yugoslavia
Latvia,Lithuania
Germany,Germany
Germany,Germany
Estonia,Lithuania
Curaçao,Curaçao
Hungary,Hungary
Sweden,Norway
